dataset,k,d,ftr_extractor,classifier,fold,trn_oa,trn_aa,trn_f1_macro,trn_f1_c0,trn_f1_c1,trn_f1_c2,trn_f1_c3,trn_f1_c4,trn_f1_c5,trn_f1_c6,trn_f1_c7,trn_f1_c8,trn_f1_c9,trn_f1_c10,trn_f1_c11,trn_f1_c12,val_oa,val_aa,val_f1_macro,val_f1_c0,val_f1_c1,val_f1_c2,val_f1_c3,val_f1_c4,val_f1_c5,val_f1_c6,val_f1_c7,val_f1_c8,val_f1_c9,val_f1_c10,val_f1_c11,val_f1_c12,tst_oa,tst_aa,tst_f1_macro,tst_f1_c0,tst_f1_c1,tst_f1_c2,tst_f1_c3,tst_f1_c4,tst_f1_c5,tst_f1_c6,tst_f1_c7,tst_f1_c8,tst_f1_c9,tst_f1_c10,tst_f1_c11,tst_f1_c12
KSC,0.25,2,PCA,NB,1,0.7206225680933852,0.6416851595424816,0.6249677305872888,0.7932692307692307,0.5904761904761905,0.5524475524475524,0.2352941176470588,0.5763888888888888,0.5392156862745098,0.3832335329341317,0.8395522388059702,0.2528735632183908,0.9523809523809524,0.8180574555403557,0.9664233576642336,0.3861236802413273,0.4220293565454855,0.2046132077117358,0.0,0.0,0.6111111111111112,0.0,0.0,0.0,0.2472727272727272,0.0,0.1088435374149659,1.0,0.233970753655793,0.2541603630862329,0.628099173553719,0.4418602418866763,0.3826262017954224,0.9217238346525946,0.6136363636363636,0.5058365758754864,0.1241379310344827,0.0256410256410256,0.4413145539906103,0.3544303797468354,0.0,0.1304347826086956,0.0,0.4743589743589743,1.0,,,
KSC,0.25,2,PCA,NB,2,0.7213930348258707,0.6058668508868621,0.5611733825169272,0.8232323232323232,0.2480620155038759,0.5893909626719057,0.1217391304347826,0.5510204081632653,0.5081081081081081,0.0625,0.5344224037339557,0.7842105263157895,0.2857142857142857,0.983132530120482,0.8107142857142857,0.993006993006993,0.6813417190775681,0.5365240496225336,0.3947058337664935,0.0727272727272727,0.532258064516129,0.0,0.0,1.0,0.0,1.0,0.0,0.6602687140115163,0.0,0.0,0.8659217877094972,1.0,0.6191626409017713,0.4606649528841519,0.3710902151648622,0.9279437609841829,0.6265060240963856,0.474025974025974,0.0,0.0253164556962025,0.4342857142857143,0.0888888888888888,0.3176470588235294,0.0,0.1768707482993197,0.0,0.7526881720430108,1.0
KSC,0.25,2,PCA,NB,3,0.7556585764930461,0.6316494267433098,0.5934149210839705,0.7154471544715447,0.6265822784810127,0.5984251968503937,0.25,0.5808823529411765,0.5472636815920398,0.0705882352941176,0.373015873015873,0.8113374667847653,0.4181818181818181,0.97708082026538,0.7512007684918348,0.9943883277216612,0.4271523178807947,0.4499999999999999,0.3188264861256308,0.7227722772277227,0.0,0.0,0.0784313725490196,0.0,0.0,1.0,0.2526315789473684,0.0,0.0909090909090909,1.0,0.0,1.0,0.5281803542673108,0.3849944196302048,0.337908699800938,0.823766364551863,0.5851063829787234,0.4397590361445783,0.0451127819548872,0.027027027027027,0.3884297520661157,0.048780487804878,0.2528735632183908,0.0,0.2564102564102564,0.0,0.5255474452554745,1.0
KSC,0.25,2,PCA,NB,4,0.7537942664418212,0.602822507641709,0.5916231579043478,0.8630490956072352,0.676923076923077,0.6585365853658537,0.1616161616161616,0.1063829787234042,0.3839779005524862,0.7923844061650045,0.185929648241206,0.97708082026538,0.7073446327683616,0.9946294307196564,0.7284768211920529,0.4987012987012987,0.4071371053189235,0.0,0.0,0.2615384615384615,0.2303030303030303,0.0,0.0,0.0,1.0,1.0,0.9866666666666668,1.0,0.6762589928057554,0.4611919506989874,0.3955079975169759,0.9025641025641026,0.6839378238341969,0.4792332268370607,0.1420765027322404,0.04,0.3898305084745763,0.0,0.1617647058823529,0.0,0.5511811023622047,1.0,,,,,,
KSC,0.25,2,PCA,NB,5,0.7544031311154599,0.6464299413429659,0.6177180039856219,0.7526881720430108,0.74,0.437246963562753,0.1506849315068493,0.6357142857142857,0.5545454545454546,0.4158415841584158,0.3575638506876228,0.7804195804195804,0.4489795918367347,0.9977924944812362,0.7588571428571429,1.0,0.592469545957918,0.5622532461640999,0.4904678345266204,0.7818181818181819,0.360655737704918,0.576271186440678,1.0,0.0,0.0,0.0,0.4568965517241379,0.7511520737327189,0.1019108280254777,0.8037383177570093,0.7134502923976608,0.8301886792452831,0.5748792270531401,0.5139020382026283,0.4322435397172439,0.9174311926605504,0.5,0.3529411764705882,0.0606060606060606,0.0196078431372549,0.4355555555555555,0.0975609756097561,0.3461538461538461,0.0,0.3178807947019867,1.0,0.5714285714285714,1.0
KSC,0.25,4,PCA,NB,1,0.7723735408560312,0.722019700967651,0.7131473927689685,0.8126649076517151,0.6785714285714286,0.594059405940594,0.5078125,0.6810035842293907,0.6415094339622641,0.3630573248407643,0.8560885608856088,0.7086092715231788,0.9124668435013262,0.8268156424581006,0.9751098096632504,0.3680241327300151,0.4713525164139112,0.2307354590121809,0.0,0.0,0.7848101265822784,0.0,0.0,0.0,0.2222222222222222,0.0,0.4311377245508982,0.9978021978021978,0.2062298603651987,0.1266233766233766,0.6471074380165289,0.4414269254798602,0.4048053895422956,0.9117117117117116,0.6073298429319371,0.5988023952095808,0.5093632958801498,0.0,0.3835616438356164,0.2718446601941747,0.0,0.1333333333333333,0.0,0.4417177914110429,1.0,,,
KSC,0.25,4,PCA,NB,2,0.7983416252072969,0.7171451573508706,0.6892193005516363,0.8235294117647058,0.352112676056338,0.6974063400576369,0.2459016393442623,0.6836363636363636,0.6388888888888888,0.4892703862660944,0.6242937853107344,0.801980198019802,0.8245931283905967,0.9655172413793104,0.8127208480565371,1.0,0.6865828092243187,0.4693694577140215,0.3318477591321057,0.1904761904761904,0.5984251968503937,0.0,0.0,1.0,0.0,0.0,0.0,0.6641074856046065,0.0,0.0,0.8627450980392157,0.9982668977469672,0.6489533011272142,0.420886174076703,0.422193047980806,0.9159891598915988,0.6629834254143646,0.5371428571428571,0.0150375939849624,0.0,0.4088888888888889,0.1104294478527607,0.4347826086956521,0.0,0.7169811320754716,0.0,0.6862745098039216,1.0
KSC,0.25,4,PCA,NB,3,0.7995636760294519,0.7188924319098001,0.703855064486652,0.8034188034188035,0.6964856230031949,0.6802325581395349,0.4166666666666667,0.7153846153846154,0.6964285714285714,0.5288461538461539,0.3312368972746331,0.813321647677476,0.7245283018867924,0.9656019656019657,0.7790927021696252,0.9988713318284425,0.314569536423841,0.3730217151269783,0.2391197960818214,0.3670886075949367,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.3434343434343434,0.0,0.2162162162162162,1.0,0.0,1.0,0.5450885668276972,0.4064557006927499,0.3809702729573536,0.811623246492986,0.5841584158415841,0.4615384615384615,0.1324503311258278,0.0273972602739726,0.26,0.131578947368421,0.4146341463414634,0.0,0.5968586387434555,0.0,0.5323741007194245,1.0
KSC,0.25,4,PCA,NB,4,0.8004496908375491,0.7049872710702881,0.6960996189111921,0.8895027624309392,0.69375,0.7561837455830389,0.2075471698113207,0.5233644859813084,0.3859649122807017,0.8098591549295775,0.6938775510204082,0.964329643296433,0.7337962962962963,0.9989200863930886,0.7218543046357616,0.4935064935064935,0.4127870251813914,0.0,0.0,0.3380281690140845,0.215962441314554,0.0,0.0,0.0,1.0,1.0,0.9866666666666668,1.0,0.7077338129496403,0.4925719502040964,0.457557309496621,0.9230769230769232,0.6276595744680851,0.5783132530120482,0.194331983805668,0.1420118343195266,0.4660194174757281,0.0,0.574585635359116,0.0,0.5271317829457365,1.0,,,,,,
KSC,0.25,4,PCA,NB,5,0.8091976516634051,0.7332481942472495,0.7250232663708444,0.8060836501901141,0.7511737089201878,0.694300518134715,0.3455497382198952,0.7518796992481203,0.6844444444444444,0.5137614678899083,0.3628509719222462,0.8205128205128205,0.9193548387096774,1.0,0.7759433962264151,0.9994472084024324,0.5780730897009967,0.5201166264270487,0.4214123273433747,0.6444444444444445,0.4444444444444444,0.411214953271028,0.0,0.0,0.0,0.0,0.2612612612612612,0.7276595744680852,0.3535911602209944,0.7962382445141066,0.8395061728395061,1.0,0.5555555555555556,0.5107150244567953,0.4771774462300018,0.8283433133732535,0.5165562913907285,0.352,0.2679425837320574,0.0,0.3047619047619048,0.0903954802259887,0.4571428571428571,0.0,0.7319587628865979,1.0,0.6542056074766355,1.0
