dataset,k,d,ftr_extractor,classifier,fold,trn_oa,trn_aa,trn_f1_macro,trn_f1_c0,trn_f1_c1,trn_f1_c2,trn_f1_c3,trn_f1_c4,trn_f1_c5,trn_f1_c6,trn_f1_c7,trn_f1_c8,val_oa,val_aa,val_f1_macro,val_f1_c0,val_f1_c1,val_f1_c2,val_f1_c3,val_f1_c4,val_f1_c5,val_f1_c6,val_f1_c7,val_f1_c8,tst_oa,tst_aa,tst_f1_macro,tst_f1_c0,tst_f1_c1,tst_f1_c2,tst_f1_c3,tst_f1_c4,tst_f1_c5,tst_f1_c6,tst_f1_c7,tst_f1_c8
Pavia_University,0.25,2,PCA,RF,1,0.9999582097037067,0.9999630245886486,0.999969391090148,0.9998909368524376,1.0,1.0,1.0,1.0,1.0,1.0,0.999833582958895,1.0,0.6744988716314881,0.6265366487093803,0.6176143156496208,0.8750622200099551,0.7505732484076433,0.2285714285714285,0.5950827897641746,1.0,0.3390216154721274,0.2972972972972973,0.4815409309791332,0.9913793103448276,0.7373165989040127,0.6462682148499869,0.6292680247935967,0.7621998450813323,0.8562204369697425,0.1608938547486033,0.4732350659425912,0.9844559585492229,0.3205612520237453,0.5813449023861171,0.5245009074410163,1.0
Pavia_University,0.25,2,PCA,RF,2,0.9998833138856476,0.9999131684083922,0.9998500496349068,0.9998515659789224,0.9999525233822344,0.9992663242846662,1.0,1.0,0.9997749268512266,1.0,0.9998051062171116,1.0,0.6667246175243393,0.5482351312862082,0.505178903430865,0.8253831210878481,0.7468277945619335,0.0797101449275362,0.7947686116700201,0.0,0.108626198083067,0.3816631130063966,0.6096311475409836,1.0,0.7660420717694891,0.6860319444297822,0.6581723244650344,0.7773737373737374,0.8780027578198708,0.2076124567474048,0.5195121951219512,0.986206896551724,0.2880085653104925,0.6666666666666666,0.6001676445934618,1.0
Pavia_University,0.25,2,PCA,RF,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6635594435680482,0.6127574153896008,0.5992802396504331,0.7979924717691342,0.7151238591916558,0.1083333333333333,0.7462277091906722,0.9602356406480118,0.3028972783143108,0.0,0.7627118644067796,1.0,0.7577337811560898,0.6577607989429982,0.639986287630827,0.7708250298923874,0.8756780212627469,0.255533199195171,0.5052143684820394,0.986206896551724,0.2571912013536379,0.576271186440678,0.5329566854990584,1.0
Pavia_University,0.25,2,PCA,RF,4,0.9998431925986908,0.9999392573925818,0.9998430651938826,0.9998911742300576,0.9998354451209478,1.0,0.9997666277712952,1.0,0.9997097242380262,0.9993846153846154,1.0,1.0,0.7369393583067361,0.7102076728212006,0.6942016708409581,0.8094701240135288,0.770618556701031,0.0,0.8714555765595463,0.9531502423263328,0.4927234927234927,0.56,0.7903970452446907,1.0,0.7616227682517235,0.6564378500167868,0.6412768690451052,0.7683024939662108,0.8801044462174512,0.2602739726027397,0.5131128848346637,0.9827586206896552,0.3058954393770856,0.5399568034557235,0.521087160262418,1.0
Pavia_University,0.25,2,PCA,RF,5,0.9999618480790508,0.9999771376314588,0.9999294974050515,0.9998971087560448,1.0,1.0,1.0,1.0,1.0,0.9994683678894204,1.0,1.0,0.6398781184536279,0.6664011652584795,0.6554244878197127,0.8256227758007118,0.4738988580750408,0.1572052401746725,0.8747390396659708,0.989159891598916,0.4732297063903281,0.3333333333333333,0.7754629629629629,0.9961685823754788,0.8002474809969948,0.6693219792571866,0.6463077267571621,0.7548209366391184,0.9165389438484046,0.2815814850530376,0.5239766081871345,0.9843478260869564,0.3458767013610889,0.4943820224719101,0.5170731707317073,0.9981718464351006
Pavia_University,0.25,4,PCA,RF,1,0.9999582097037067,0.9999630245886486,0.999969391090148,0.9998909368524376,1.0,1.0,1.0,1.0,1.0,1.0,0.999833582958895,1.0,0.7752555422806319,0.7023681493278618,0.6878427898290835,0.8974874371859296,0.8510890151515151,0.2804232804232804,0.7258732978093546,1.0,0.4438393464942137,0.4473684210526316,0.553125,0.9913793103448276,0.8292381120735373,0.7630854982570364,0.7541322812876929,0.8158109209453953,0.9104682201861336,0.5220804710500491,0.6086956521739131,0.996551724137931,0.4490066225165562,0.783427495291902,0.7011494252873564,1.0
Pavia_University,0.25,4,PCA,RF,2,0.9999222092570984,0.9999461488509896,0.9998790477747423,1.0,0.9999525233822344,0.9992663242846662,1.0,1.0,0.9998874760886688,1.0,0.9998051062171116,1.0,0.7433936022253129,0.627250182191007,0.5795921947333897,0.8649232764210071,0.8621951219512195,0.2537960954446854,0.9117647058823528,0.0,0.1658536585365853,0.5203761755485894,0.6374207188160677,1.0,0.8426727947675446,0.7792904755798645,0.7556745548996765,0.823724595603484,0.9248115002466352,0.4893832153690596,0.6764705882352942,0.996551724137931,0.4278812974465148,0.7736943907156673,0.6885536823425022,1.0
Pavia_University,0.25,4,PCA,RF,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7474544672307472,0.684533763353028,0.67222763844394,0.8085912823752369,0.7867190055610075,0.3284313725490196,0.8383561643835616,0.9825581395348836,0.4724750758560901,0.0,0.8329177057356608,1.0,0.83993282658653,0.7700764913878946,0.7596978011820751,0.804868154158215,0.9207962727657772,0.5314553990610329,0.6821345707656613,0.996551724137931,0.3927068723702664,0.7666034155597723,0.7421638018200202,1.0
Pavia_University,0.25,4,PCA,RF,4,0.9999607981496726,0.9999878100810632,0.9999679744585426,1.0,0.9999451423555872,1.0,0.9997666277712952,1.0,1.0,1.0,1.0,1.0,0.8026205274651437,0.7686543101993288,0.7520487283008228,0.8822571893651655,0.8138925294888598,0.0,0.9130434782608696,0.9884678747940692,0.6010050251256281,0.7121212121212122,0.8576512455516014,1.0,0.8470920982853102,0.7798673822605815,0.7694679312656907,0.8109881098810988,0.9246977303259564,0.5750682438580528,0.6881472957422324,0.996551724137931,0.4371963913948646,0.7465618860510805,0.746,1.0
Pavia_University,0.25,4,PCA,RF,5,0.9999618480790508,0.9999771376314588,0.9999294974050515,0.9998971087560448,1.0,1.0,1.0,1.0,1.0,0.9994683678894204,1.0,1.0,0.7408112740430394,0.754873905472958,0.7472695359323657,0.8822299651567944,0.5952380952380952,0.3045685279187817,0.9411764705882352,0.995973154362416,0.6186440677966102,0.5555555555555556,0.8358714043993232,0.9961685823754788,0.869984090507336,0.7991343557614665,0.772413538833973,0.7948717948717948,0.9459105629435678,0.5954337899543379,0.6890173410404624,0.9948186528497408,0.5055762081784386,0.6735537190082644,0.7543679342240494,0.9981718464351006
