dataset,k,d,ftr_extractor,classifier,fold,trn_oa,trn_aa,trn_f1_macro,trn_f1_c0,trn_f1_c1,trn_f1_c2,trn_f1_c3,trn_f1_c4,trn_f1_c5,trn_f1_c6,trn_f1_c7,trn_f1_c8,trn_f1_c9,trn_f1_c10,trn_f1_c11,trn_f1_c12,trn_f1_c13,trn_f1_c14,trn_f1_c15,val_oa,val_aa,val_f1_macro,val_f1_c0,val_f1_c1,val_f1_c2,val_f1_c3,val_f1_c4,val_f1_c5,val_f1_c6,val_f1_c7,val_f1_c8,val_f1_c9,val_f1_c10,val_f1_c11,val_f1_c12,val_f1_c13,val_f1_c14,val_f1_c15,tst_oa,tst_aa,tst_f1_macro,tst_f1_c0,tst_f1_c1,tst_f1_c2,tst_f1_c3,tst_f1_c4,tst_f1_c5,tst_f1_c6,tst_f1_c7,tst_f1_c8,tst_f1_c9,tst_f1_c10,tst_f1_c11,tst_f1_c12,tst_f1_c13,tst_f1_c14,tst_f1_c15
Indian_Pines,0.25,2,PCA,XGB,1,0.8075117370892019,0.889290507722061,0.8733082804672261,0.9213483146067416,0.6916030534351145,0.7245551601423488,0.8607594936708861,0.9673202614379084,0.9333333333333332,0.9824561403508772,0.9868852459016394,0.9090909090909092,0.7953708574434508,0.7645891226677253,0.6862222222222222,0.935672514619883,0.9896907216494846,0.9159891598915988,0.9080459770114944,0.2603461249059443,0.2771130591160711,0.2355769515606524,0.0,0.0258899676375404,0.0,0.0,0.0,0.0,0.0,0.8757763975155279,1.0,0.1748251748251748,0.152080344332855,0.0,1.0,0.5406593406593406,0.0,0.0,0.4910681735326285,0.4814799879225631,0.3522211497809934,1.0,0.3619631901840491,0.1824104234527687,0.0,0.1917211328976034,0.7816593886462883,1.0,0.0,0.0,0.0,0.5763779527559055,0.0,0.8118811881188119,0.729525120440468,0.0,0.0
Indian_Pines,0.25,2,PCA,XGB,2,0.8546887631366209,0.905311437101364,0.8865443374005808,0.989247311827957,0.7602905569007264,0.7620286085825748,0.8377192982456141,0.9743589743589745,0.9548793284365162,0.9642857142857144,0.991404011461318,0.9090909090909092,0.7923875432525952,0.8357905439755974,0.7802690582959642,0.976470588235294,0.9699842022116903,0.8840336134453781,0.8024691358024691,0.3596559812353401,0.277442417781494,0.236975222199994,0.0,0.1354723707664884,0.3743119266055046,0.0,0.0,0.4909090909090909,0.0,0.8122605363984674,0.0,0.2343572241183162,0.4756029164329781,0.0128755364806866,0.0,1.0,0.2558139534883721,0.0,0.5176813707619394,0.4109362811380706,0.2859567332996806,1.0,0.2074829931972789,0.1292775665399239,0.0,0.1885964912280701,0.7799564270152506,0.0,0.0,0.0,0.0,0.6391437308868502,0.0,0.8465116279069768,0.7843388960205392,0.0,0.0
Indian_Pines,0.25,2,PCA,XGB,3,0.843238434163701,0.9131911898907508,0.8961686226408824,0.8048780487804879,0.6566566566566566,0.7744755244755245,1.0,0.9668874172185432,0.9567567567567568,0.925925925925926,0.977366255144033,1.0,0.794341675734494,0.8090724441435342,0.8402366863905325,0.9595375722543352,0.9699842022116903,0.9025787965616046,1.0,0.2423117709437963,0.4972968074606387,0.252804006557645,0.0,0.1710526315789473,0.1968253968253968,0.0,0.0,0.7550200803212851,1.0,0.0,0.0,0.2441860465116279,0.3940435280641466,0.0865533230293663,0.0,1.0,0.1971830985915492,0.0,0.5264309150565075,0.6014727270068412,0.4784082111409106,1.0,0.3244094488188976,0.2228739002932551,1.0,0.1869565217391304,0.7541766109785203,1.0,0.0,0.0,0.0,0.5781584582441114,0.0,0.8,0.7879564381806534,0.0,1.0
Indian_Pines,0.25,2,PCA,XGB,4,0.7949425287356322,0.883664896510354,0.8421440547141869,0.8505747126436781,0.684946838276441,0.72,0.8528784648187633,0.9324324324324323,0.9713155291790306,0.8679245283018868,0.977319587628866,0.8,0.7301231802911534,0.7685589519650655,0.642369020501139,1.0,0.9958677685950412,0.9156626506024096,0.7643312101910829,0.3261977573904179,0.5461484335536844,0.4450831164497354,1.0,0.0,0.3047619047619048,0.0,0.0,0.0,1.0,1.0,1.0,0.3380281690140845,0.4972677595628415,0.2678571428571428,0.0,0.610989010989011,0.1024258760107816,1.0,0.5406489245351804,0.4768878070758161,0.3113746855280036,1.0,0.3728813559322034,0.1433962264150943,0.0,0.2112068965517241,0.8212180746561886,1.0,0.0,0.0,0.0,0.6429101707498144,0.0,0.0,0.7903822441430333,0.0,0.0
Indian_Pines,0.25,2,PCA,XGB,5,0.7822031388806633,0.8807058143915767,0.7968983903814666,0.0,0.6502575844304522,0.7047619047619048,0.8366013071895425,0.9444444444444444,0.9141104294478528,1.0,0.9979123173277662,0.9090909090909092,0.7395727365208545,0.7712137486573577,0.6604477611940298,0.9585798816568049,0.9576008273009308,0.9033112582781456,0.8024691358024691,0.3976063829787234,0.4637014304133869,0.2794969691254421,0.0,0.074074074074074,0.5100671140939598,0.0,0.0,0.4874715261958998,0.0,0.0,1.0,0.4782608695652174,0.0,0.0,0.0,0.922077922077922,0.0,1.0,0.4750273423259205,0.3569277040760603,0.3191840993021912,1.0,0.3161189358372457,0.1678832116788321,0.0,0.0,0.4571428571428571,1.0,0.0,0.0,0.0,0.6243465272591486,0.0,0.7638190954773869,0.7776349614395887,0.0,0.0
Indian_Pines,0.25,4,PCA,XGB,1,0.971830985915493,0.9887168715353428,0.9864094874734844,1.0,0.925311203319502,0.961567445365486,0.9936575052854124,1.0,1.0,1.0,1.0,1.0,0.975556762629006,0.9578947368421052,0.9685641461342396,1.0,1.0,1.0,1.0,0.3137697516930022,0.289545136112341,0.2497811281019648,0.0,0.0611111111111111,0.0,0.0,0.0,0.0,0.0,0.9393939393939394,1.0,0.2027649769585253,0.2853628536285363,0.0,1.0,0.5078651685393258,0.0,0.0,0.6110098432373314,0.5230685000691359,0.4066284984776178,1.0,0.4907801418439716,0.4332129963898917,0.0,0.1405895691609977,0.9282700421940928,0.0,0.0,0.1333333333333333,0.0,0.7566063977746871,0.0,0.8703703703703703,0.7528931245745405,0.0,1.0
Indian_Pines,0.25,4,PCA,XGB,2,0.9892886014551334,0.9938859730324432,0.9935413092326396,1.0,0.9789227166276346,0.9814814814814816,0.9872340425531916,1.0,1.0,1.0,1.0,1.0,0.981450252951096,0.9837837837837838,0.986159169550173,1.0,0.99919935948759,0.998430141287284,1.0,0.470680218921032,0.4010686153466657,0.3668745777396038,0.0,0.2049586776859504,0.4477611940298507,0.0,0.0,0.6262626262626263,0.0,0.8491620111731844,1.0,0.5879017013232514,0.5142857142857142,0.0318181818181818,0.0,0.0,0.6078431372549019,1.0,0.6055413780532264,0.5063967393504032,0.4027737457606103,1.0,0.4855172413793103,0.3322475570032573,0.0,0.0478468899521531,0.9163179916317992,0.0,0.0,0.25,0.0,0.7057971014492753,0.0,0.9237668161434978,0.7828863346104725,0.0,1.0
Indian_Pines,0.25,4,PCA,XGB,3,0.9784697508896796,0.992160078177038,0.9906333257962106,1.0,0.9379432624113476,0.9734345351043644,1.0,1.0,1.0,1.0,1.0,1.0,0.9721603563474388,0.9687712152070604,1.0,1.0,0.99919935948759,0.998624484181568,1.0,0.3425238600212089,0.5507205422769341,0.3076528254549728,0.0,0.256,0.3562610229276896,0.0,0.0,0.8353413654618473,1.0,0.0,0.0,0.484472049689441,0.4766467065868263,0.1853658536585365,0.0,1.0,0.3283582089552239,0.0,0.6306963179001094,0.574874496201937,0.4553437967700586,1.0,0.4118518518518518,0.3796610169491525,1.0,0.1655480984340044,0.9070796460176992,0.0,0.0,0.0,0.0,0.7451487710219923,0.0,0.8899082568807339,0.7863031071655041,0.0,1.0
Indian_Pines,0.25,4,PCA,XGB,4,0.965823754789272,0.9875415096494256,0.9852295030805608,1.0,0.922996333158722,0.9680451127819548,0.9978858350951374,1.0,1.0,1.0,1.0,1.0,0.9613636363636364,0.9515337423312884,0.9618473895582328,1.0,1.0,1.0,1.0,0.3608562691131498,0.4385201664671819,0.3405947514035562,1.0,0.0,0.3015075376884422,0.0,0.0,0.0,1.0,0.0,0.0,0.4878048780487805,0.4924012158054711,0.3410852713178294,0.0,0.6056644880174292,0.2210526315789473,1.0,0.6303317535545023,0.5253673206408715,0.3614868835290995,1.0,0.4960212201591512,0.4552845528455284,0.0,0.2441113490364025,0.9090909090909092,0.0,0.0,0.1333333333333333,0.0,0.7604095563139932,0.0,0.0,0.7855392156862745,0.0,1.0
Indian_Pines,0.25,4,PCA,XGB,5,0.9615042937518508,0.9847883167974398,0.9206037635762232,0.0,0.9151643690349948,0.9622475856014048,0.9957627118644068,1.0,1.0,1.0,1.0,1.0,0.9572471324296142,0.9508383063370276,0.9531116794543903,1.0,0.9978858350951374,0.9974025974025974,1.0,0.5079787234042553,0.471204309963075,0.2978449246140597,0.0,0.2,0.460431654676259,0.0,0.0,0.7462121212121212,0.0,0.0,1.0,0.4347826086956521,0.0,0.0,1.0,0.924092409240924,0.0,0.0,0.6106452788917244,0.5342522897342421,0.4634139490493287,1.0,0.4884038199181446,0.4426877470355731,0.0,0.0,0.8029197080291971,1.0,0.0,0.25,0.0,0.7649456521739131,0.0,0.8837209302325582,0.7819453273998729,0.0,1.0
