dataset,k,d,ftr_extractor,classifier,fold,trn_oa,trn_aa,trn_f1_macro,trn_f1_c0,trn_f1_c1,trn_f1_c2,trn_f1_c3,trn_f1_c4,trn_f1_c5,trn_f1_c6,trn_f1_c7,trn_f1_c8,trn_f1_c9,trn_f1_c10,trn_f1_c11,trn_f1_c12,trn_f1_c13,trn_f1_c14,trn_f1_c15,val_oa,val_aa,val_f1_macro,val_f1_c0,val_f1_c1,val_f1_c2,val_f1_c3,val_f1_c4,val_f1_c5,val_f1_c6,val_f1_c7,val_f1_c8,val_f1_c9,val_f1_c10,val_f1_c11,val_f1_c12,val_f1_c13,val_f1_c14,val_f1_c15,tst_oa,tst_aa,tst_f1_macro,tst_f1_c0,tst_f1_c1,tst_f1_c2,tst_f1_c3,tst_f1_c4,tst_f1_c5,tst_f1_c6,tst_f1_c7,tst_f1_c8,tst_f1_c9,tst_f1_c10,tst_f1_c11,tst_f1_c12,tst_f1_c13,tst_f1_c14,tst_f1_c15
Salinas,0.25,2,PCA,NB,1,0.8063916553388631,0.8473855974336443,0.8178503480166608,0.9141378499176664,0.8936055883933369,0.8838309193023943,0.9945945945945946,0.9898185037627268,0.969193875668696,0.987820243595128,0.7791762529886769,0.9667880392805914,0.4520648967551622,0.5606967882416984,0.7828571428571428,0.9257575757575758,0.9225753871230644,0.1986879100281162,0.864,0.7053291536050157,0.6333291487648132,0.5843984595343112,1.0,0.0,0.0,0.9808917197452228,0.9876543209876544,1.0,0.0,0.7240909974722924,0.9754139488208732,0.2191011235955056,0.8411552346570397,0.5991792065663475,0.9501084598698482,0.8622540250447227,0.2105263157894736,0.0,0.6900529823961716,0.686109929336751,0.5918276933373454,0.0,0.9662988368625112,0.4386724386724386,0.9815668202764976,0.8490408673894912,0.9982876712328768,0.9459992116673236,0.0619266055045871,0.8477653631284916,0.5273722627737226,0.383625730994152,0.576725025746653,0.371900826446281,0.592274678111588,0.098780487804878,0.8290062667860341
Salinas,0.25,2,PCA,NB,2,0.7994699392158557,0.852954441181027,0.7830774083569829,0.9143511887711258,0.902561083308802,0.8072727272727273,0.994548758328286,0.9868073878627968,0.9657437822618488,0.9813242784380306,0.8163447251114413,0.9611887336438236,0.1924737816162862,0.624618514750763,0.7600567912920019,0.9344512195121952,0.8908649959579629,0.0,0.7966305655836342,0.6633393829401089,0.8090175182761146,0.7100899074877505,0.910162002945508,0.8611111111111112,0.9078014184397164,1.0,0.995645863570392,0.990590248075278,0.9916079221215172,0.0,0.9887968826108134,0.2156057494866529,0.3797780517879161,0.7874015748031497,0.8932461873638344,0.9312169312169312,0.0,0.5084745762711864,0.6641599726542471,0.6692705183587456,0.5682561228405649,0.0,0.9832795541214432,0.4741744284504657,0.9850746268656716,0.903968253968254,0.9982876712328768,0.9542743538767396,0.0565741225772655,0.8292682926829268,0.2364145658263305,0.2698795180722891,0.5960264900662252,0.3813559322033898,0.6341463414634146,0.0,0.7893738140417458
Salinas,0.25,2,PCA,NB,3,0.7819937273230428,0.8072139527164863,0.7851906996834104,0.9102422907488988,0.90491452991453,0.7191316146540027,0.994256541161455,0.9851590106007068,0.9589257503949448,0.9898213073965166,0.7473274053351984,0.973172734738571,0.3785942492012779,0.5319662243667069,0.7537260468417317,0.9153846153846154,0.8875526157546603,0.4964940058810224,0.4163822525597269,0.771125694093892,0.7369617356727429,0.7077272237322136,0.978369384359401,0.1111111111111111,0.851808634772462,1.0,0.9820359281437124,0.9584664536741214,0.943502824858757,0.7072625698324022,0.9603854389721628,0.1458333333333333,0.7187839305103149,0.8213689482470785,0.9745762711864406,0.9404761904761904,0.1493411420204978,0.0803134182174338,0.6898820714407794,0.6645316722258621,0.5831614387126032,0.0,0.977279433461198,0.4560747663551401,0.9862385321100916,0.892184368737475,0.9982876712328768,0.9252120277563608,0.0644391408114558,0.8577494692144374,0.3519181585677749,0.3113994439295644,0.7026578073089701,0.3688524590163934,0.6303501945525292,0.3790238836967809,0.4289156626506024
Salinas,0.25,2,PCA,NB,4,0.7841973766396002,0.8447065256229087,0.829094986472904,0.966903652856092,0.9321533923303836,0.8385155466399198,0.9949604031677466,0.989415554532904,0.9680156657963448,0.985898589858986,0.6541672017465006,0.9686669198632738,0.2783195798949737,0.5768942235558889,0.8200354609929078,0.9454545454545454,0.9054669703872438,0.6355369869746866,0.8051150895140665,0.6527411519777931,0.6575593080060445,0.5872471794544709,0.0,0.6222222222222222,0.5692883895131086,0.9980732177263968,0.9620253164556962,0.933392148213498,0.9901269393511988,0.6495517522412388,0.9445506692160612,0.0,0.0,0.5673758865248227,0.8405797101449275,0.7924528301886793,0.0,0.5263157894736842,0.6984276192103914,0.6639980629753526,0.603376976606155,0.0,0.9138201190849264,0.3002144388849178,0.9850746268656716,0.7617765814266487,0.997427101200686,0.94749309119621,0.093841642228739,0.8449720670391061,0.3439425051334702,0.2939632545931758,0.5706618962432916,0.4559585492227979,0.6532258064516129,0.6957605985037406,0.7958993476234856
Salinas,0.25,2,PCA,NB,5,0.8156326112036918,0.8195641499461742,0.7999332197504936,0.9577039274924471,0.9684638860630722,0.8172810146650813,0.9958071278825996,0.988399071925754,0.9680473372781064,0.9892744479495268,0.7933893137936567,0.967085577498504,0.2118171683389074,0.6371527777777778,0.812452543659833,0.949798038084247,0.8840477863668307,0.0273972602739726,0.8308142369575817,0.698119932281921,0.6387741842994603,0.580265790629299,0.9977392614920876,0.935251798561151,0.8165289256198347,1.0,1.0,0.9857549857549858,0.0,0.7164766839378238,0.9600580973129992,0.2857142857142857,0.1584158415841584,0.0,0.5405405405405406,0.8661087866108786,0.0216634429400386,0.0,0.6587762775593916,0.6976287360729219,0.6159595687809226,1.0,0.9787735849056604,0.3044719314938154,0.9850746268656716,0.8899598393574297,0.9982876712328768,0.9459992116673236,0.0594059405940594,0.831858407079646,0.2553424657534247,0.2864450127877238,0.5620805369127517,0.3474903474903475,0.6240601503759399,0.0127469725940089,0.773356401384083
Salinas,0.25,4,PCA,NB,1,0.8704746580852776,0.905241832810777,0.9058464228314111,0.9387951807228916,0.927391874180865,0.93598233995585,0.9973045822102424,0.9875886524822696,0.9983856502242152,0.9907016060862216,0.812863990104623,0.9901012373453318,0.7270588235294118,0.7738264580369844,0.9607965152457996,0.976452119309262,0.97,0.5748206131767776,0.9314731226918342,0.7615987460815047,0.7802207696527408,0.7724847282553491,1.0,1.0,0.0,0.9860583016476552,0.9906542056074766,1.0,1.0,0.6804901036757776,0.9863842662632376,0.4682926829268293,0.9340463458110516,0.9221052631578948,0.9629629629629628,0.9176882661996496,0.5110732538330494,0.0,0.8175525551187831,0.7501380922607395,0.7124626663279049,0.0,0.9838662364329716,0.6177908113391984,0.9839080459770116,0.9581920903954804,1.0,0.9414998036906164,0.0841924398625429,0.9069423929098966,0.7807648617947747,0.5824915824915825,0.8311926605504587,0.6766917293233082,0.6776859504132231,0.5346350534635054,0.839549002601908
Salinas,0.25,4,PCA,NB,2,0.862472272635612,0.8939942517542442,0.8920510065632772,0.9528826455955516,0.948006932409012,0.9066374908825676,0.9945684972842488,0.9671704012506512,0.998179335457442,0.9886104783599088,0.8390305584826133,0.9860623229461756,0.5853658536585366,0.7869643934821967,0.9349258649093904,0.9677938808373592,0.9473684210526316,0.513905325443787,0.9553437029603612,0.8086595799844438,0.8701155629116191,0.8370670759787107,0.8985074626865671,0.8461538461538461,0.9911894273127754,1.0,0.9942196531791908,1.0,0.9929553840992956,0.0,0.9960707269155208,0.7151607963246555,0.5683453237410072,0.9807692307692308,0.9786324786324786,0.9714285714285714,0.5323675871435039,0.9272727272727272,0.8017432917450008,0.7487659073149089,0.7029207929127829,0.0,0.9915574963609898,0.6998939554612937,0.9851088201603666,0.9744539059607552,0.9995724668661822,0.9493269992082344,0.0782543265613243,0.8945400149588631,0.709278350515464,0.4534005037783375,0.8337639965546942,0.6766917293233082,0.6991869918699187,0.4311557788944724,0.8705473501303215
Salinas,0.25,4,PCA,NB,3,0.8396470081790788,0.8738474175799389,0.8823462236993795,0.9346110484780158,0.9337869667626276,0.8961218836565097,0.9974554707379136,0.9773371104815864,0.9964467005076142,0.9925085130533484,0.7660487375543209,0.9908205841446454,0.7115260785576304,0.7287319422150883,0.9519230769230768,0.9644830307813732,0.9564684242795832,0.6302936331039829,0.6889763779527559,0.8811711256940938,0.8116380793365447,0.8228111970249682,0.9834437086092715,0.1538461538461538,0.8958919527293191,1.0,0.9923011120615912,0.9969154842689698,0.9649122807017544,0.8283668283668284,0.968421052631579,0.4468085106382978,0.8218527315914489,0.9110378912685336,0.9956709956709956,0.9878048780487804,0.2650306748466258,0.9526748971193416,0.8262690138437874,0.7464397957294802,0.7181948148919575,0.0,0.9877264757451782,0.7540983606557377,0.988558352402746,0.9690182904068684,1.0,0.9177820267686424,0.0883218842001962,0.9011152416356876,0.7220675944333996,0.5101449275362319,0.9101034208432776,0.6766917293233082,0.7044534412955465,0.6269046582498912,0.734130634774609
Salinas,0.25,4,PCA,NB,4,0.848361819317472,0.9035306745219956,0.9057574895378964,0.9803629132488192,0.9575257731958764,0.9079409697821504,0.9956896551724138,0.9908003679852806,0.999050933248972,0.9903381642512076,0.7172450191318116,0.988861985472155,0.6687289088863893,0.7680608365019012,0.932443703085905,0.9894884372810092,0.9673726388093876,0.6882309032097537,0.9499786233433092,0.7625260235947259,0.6734478695441474,0.6424135891268363,0.0,0.7323481116584565,0.9041916167664672,0.9942418426103646,0.9177718832891246,0.9975124378109452,0.9914893617021276,0.7622613253463122,0.9642184557438794,0.0,0.0,0.9372384937238494,0.8888888888888888,0.7368421052631579,0.0,0.4516129032258064,0.8168689112972142,0.7376882159609204,0.7089792698266357,0.0,0.953474320241692,0.5126050420168067,0.9851088201603666,0.859149111937216,1.0,0.9425649095200628,0.1031746031746031,0.8986587183308494,0.734982332155477,0.5042492917847026,0.8474280732345248,0.6870229007633588,0.7044534412955465,0.76484375,0.8459530026109661
Salinas,0.25,4,PCA,NB,5,0.862453531598513,0.8916534715373746,0.8877913348783535,0.9504071058475204,0.9638055842812824,0.936,0.9958202716823408,0.9883449883449884,0.9984668455346876,0.9915433403805496,0.796179104477612,0.9867638129933212,0.6006768189509306,0.7975077881619937,0.9398948159278738,0.9749702026221692,0.9525893508388038,0.3871773522064946,0.9445139758030872,0.7998752561703645,0.6599859293950843,0.6338107442018683,0.9973634651600752,0.9416581371545548,0.8006700167504187,1.0,0.0,1.0,0.0,0.7802960222016652,0.9969834087481146,0.7214170692431562,0.4043715846994535,0.0,1.0,0.9884526558891455,0.5097595473833098,0.0,0.7890958810459751,0.7396087796346797,0.6934251521097647,0.0,0.9796759941089838,0.6346604215456675,0.9874285714285714,0.970193740685544,1.0,0.9414998036906164,0.0743801652892562,0.9086892488954345,0.7215439149271367,0.4985994397759103,0.8578595317725752,0.6818181818181818,0.7096774193548387,0.3254564983888292,0.8033195020746888
